,melting_point,thermal_conductivity,band center,density,vpa,packing fraction
count,35854.0,35854.0,35854.0,35854.0,35854.0,35854.0
mean,1203.1255898595366,72.82213806110975,4.490094509641482,7.177143693475788,18.613311648596117,0.662469837539927
std,606.3736401398961,58.0037071909868,0.9262316316471378,2.8602328291956733,6.985216009147036,0.15952929392964527
min,14.01,0.02583,2.182835820895522,0.24867296457685886,5.277237980710534,0.009724189851121839
25%,703.8724559859155,31.302012142857144,3.8252358470350796,5.074803214338102,13.41478705362862,0.586147613682732
50%,1125.5022727272726,59.45579231863442,4.239556707191663,7.0481221937078296,17.276601190659736,0.686516373569109
75%,1597.984375,94.57142857142857,5.158834558701195,8.72507811087201,22.451818629744203,0.7638739834562347
max,3800.0,430.0,10.41148424543947,21.976460062622476,134.24899317606454,1.4700257503941405
